"ATT1","ATT2","ATT3","ATT4","ATT5","ATT6","ATT7","ATT8","ATT9","ATT10","PCA1","PCA2","PCA3","PCA4","PCA5","PCA6","ATT1.1","ATT2.1","ATT3.1","ATT4.1","ATT5.1","ATT6.1","ATT7.1","ATT8.1","ATT9.1","ATT10.1","SumPCA","2Sums","3Sums","RMean","Result"
-1.43655914481699,-0.187895375190361,-1.44873129684503,0.0657682374615435,-0.285834350542533,0.970429558592786,-1.26888892467513,-0.9220046142357,0.575355838973682,1.33328108568813,-0.48756811726849,-0.0487487130858924,-0.368170139081921,0.0164697804653862,-0.0991309178912254,0.306223096412174,2,4,2,6,5,7,1,2,6,8,-0.684034563114282,41,8,4.3,"0"
-1.06111792279614,0.907983481081844,0.427430431161938,1.20180808023252,-1.43219561276851,0.227681273549344,-0.904767697455699,0.905412488934117,-1.28741299783297,-1.27417239431657,-0.275302854667284,0.230748383252293,0.10703776833884,0.416802032003546,-0.451935301564675,0.0787989782989372,3,7,7,9,2,5,2,7,1,1,-0.356340359967247,10,3,4.4,"1"
-0.310235478754426,-0.187895375190361,-0.323034260040851,1.20180808023252,-0.667954771284527,1.34180370111451,-0.176525243016834,0.539929068300153,0.947909606335011,-0.901679040030185,-0.0788410104826922,-0.0470530410923073,-0.112032310488159,0.37923555436176,-0.231174715015435,0.409154217389071,5,4,5,9,4,8,4,6,7,2,0.875999282567362,32,5,5.4,"0"
-0.310235478754426,0.177397576900374,-0.698266605642245,-1.44895155289976,0.860526911683448,0.227681273549344,-0.540646470236267,-1.28748803486966,0.947909606335011,-1.27417239431657,-0.0776896329424528,0.0615236922939272,-0.220340940986024,-0.501472519866309,0.262399198034429,0.0689859464299573,5,5,4,2,8,5,3,1,7,1,-0.91526203335007,29,3,4.1,"2"
-1.43655914481699,-1.28377423146257,-0.323034260040851,0.44444818505187,1.62476775316744,-0.515067011494099,0.915838438641463,-1.28748803486966,2.065570908419,0.960787731401744,-0.498216629178555,-0.405100315392998,-0.111800014335635,0.135524927509029,0.492294071593197,-0.209715527192505,2,1,5,7,10,3,7,1,10,7,0.227410882284643,79,13,5.3,"0"
-1.43655914481699,-1.28377423146257,-1.44873129684503,1.58048802782285,1.62476775316744,-0.886441154015821,-0.904767697455699,0.17444564766619,-1.28741299783297,-0.529185685743799,-0.453312232309773,-0.444305744731482,-0.441759490956344,0.478877602540055,0.66154309695059,0.0440038252203443,2,1,2,10,10,2,2,5,1,3,-0.437392650346452,79,23,3.8,"3"
1.56697063134985,-0.553188327281096,0.427430431161938,1.20180808023252,1.24264733242544,0.227681273549344,-0.904767697455699,-0.556521193601737,-0.914859230471636,0.588294377115358,0.542318139959142,-0.168682898198498,0.129508643231832,0.48933014443901,-0.0616862560801192,-0.110450424256635,10,3,7,9,9,5,2,3,2,6,0.296268439385763,43,5,5.6,"0"
1.19152940932899,2.00386233735405,1.17789512236473,-1.07027160530944,-0.667954771284527,0.599055416071065,1.64408089308033,0.539929068300153,-0.169751695748977,-0.901679040030185,0.363331299924967,0.60715726727414,0.479593705385322,0.0531293526309962,0.324031426575057,-0.0504900603652734,9,10,9,3,4,6,9,6,4,2,2.40174431145238,15,3,6.2,"2"
-0.685676700775281,-0.918481279371831,0.427430431161938,1.20180808023252,0.478406490941455,-1.25781529653754,-0.904767697455699,-0.9220046142357,-0.542305463110307,-0.156692331457413,-0.207755584860175,-0.373970340599297,-0.0212180739821232,-0.583008915346596,-0.0403214326400602,-0.549066003909054,4,2,7,9,7,1,2,2,3,4,-1.98744891431792,52,5,4.1,"2"
0.816088187308139,0.542690528991109,1.55312746796612,-0.69159165771911,1.24264733242544,-0.143692868972378,0.915838438641463,0.905412488934117,-1.28741299783297,2.0782677942609,0.332279801691131,-0.0269397004846582,-0.753437404347242,0.0582892727610613,0.542444830303206,-0.0392810638870789,8,6,10,4,9,4,7,7,1,10,-0.552866464728169,18,7,6.6,"3"
